三包流水号,总部制造发运时间,总部审核处置时间,分公司审核提交时间,补充调查时间,分公司现场调查时间,发运时间,全周期统计时间,提出部门,客户名称
MAZ25-4120,5.24,0.03,0.03,0,,2025/12/22 16:00,5.3,湖南分公司,长沙市锦菱电梯有限公司
MAZ25-4028,8.02,0.06,0.15,0,,2025/12/16 16:00,8.23,湖南分公司,长沙市锦菱电梯有限公司
MAZ25-4022,9.23,0.05,0.49,0,,2025/12/17 16:00,9.77,湖南分公司,长沙市锦菱电梯有限公司
MBY25-3863,1.18,1.11,0.15,2.7,,2025/12/1 16:00,5.14,潍坊分公司,山东菱业电梯有限公司
MBY25-3869,5.12,1.87,0.15,0,,2025/12/3 16:00,7.14,潍坊分公司,山东菱业电梯有限公司
MAZ25-3925,0.33,0.77,0.01,0,,2025/11/28 16:00,1.11,珠海分公司,珠海市澳富机电工程有限公司
MBY25-4137,2,0.02,0,0,,2025/12/15 16:00,2.02,甘肃分公司,甘肃润通恒达机电设备有限公司
MBY25-4060,1.09,0.85,0,0,,2025/12/9 16:00,1.94,福建分公司,福州富源升机电设备有限公司
MAZ25-3746,2.08,0.14,0.01,22.72,,2025/12/19 16:00,24.95,福建分公司,福建西海岸建筑设计院有限公司
MAZ25-4087,1,0.17,0.01,0,,2025/12/9 16:00,1.18,福建分公司,福州国力机电工程有限公司
MAZ25-3825,6.25,0.04,0.63,0,,2025/11/28 16:00,6.92,福建分公司,福州国力机电工程有限公司
MBY25-3923,1.19,0.81,0,0.21,,2025/12/1 16:00,2.21,粤西分公司,广东建投置业发展有限公司
MBY25-3807,4.21,0.79,0.02,6.92,,2025/12/4 16:00,11.94,粤西分公司,广东华熹建设集团有限公司
MBY25-4204,3.13,0.04,1.03,0,,2025/12/23 16:00,4.2,粤西分公司,茂名富晟投资有限公司
MBY25-4012,1.19,-0.37,1.05,1.09,,2025/12/9 16:00,2.96,粤西分公司,中建三局集团华南有限公司
MBY25-4014,2.06,0.86,1.06,0,,2025/12/9 16:00,3.98,粤西分公司,茂名飞鹏投资有限公司
MAZ25-3945,6.13,1.06,-0.98,3.76,,2025/12/16 16:00,9.97,苏州分公司,苏州环企投资发展有限公司
MAZ25-3747,9.11,0.19,-1,0.77,,2025/12/1 16:00,9.07,苏州分公司,苏州环企投资发展有限公司
MAZ25-3911,4.06,0.01,0,0,,2025/12/2 16:00,4.07,苏州分公司,苏州工业园区福马经济发展有限公司
MBY25-3973,0.13,0.73,0,0,,2025/12/2 16:00,0.86,苏州分公司,苏州环企投资发展有限公司
MBY25-3919,1.33,0.89,0.01,0,,2025/12/1 16:00,2.23,菏泽分公司,单县利诚置地有限公司
MBY25-4023,0.2,0.08,0.48,0,,2025/12/4 16:00,0.76,贵州分公司,新华阁小区业主委员会
MBY25-3914,3.04,0.15,0.75,2.09,,2025/12/4 16:00,6.03,赣州分公司,江西广菱机电设备有限公司
MAZ25-3877,2.98,1.03,0.03,0,,2025/11/28 16:00,4.04,重庆分公司,重庆鸿纵机电设备有限公司
MBY25-3974,4.29,0.71,0.58,0.27,,2025/12/9 16:00,5.85,金华分公司,浙江杭开英惠特科技有限公司
MAZ25-4224,2.3,0.67,0.02,0,,2025/12/23 16:00,2.99,陕西分公司,陕西东和源科技有限公司
MBY25-3918,1.27,0.43,0.52,0,,2025/12/1 16:00,2.22,陕西分公司,陕西朗森机电设备有限公司
MAZ25-4018,3.28,0.89,0.85,10.81,,2025/12/25 16:00,15.83,陕西分公司,西安隆顺置业有限公司
,799.66,,,,,,1279.77,,
,#REF!,0.54 ,,,,,#REF!,,
