三包流水号,总部制造发运时间,总部审核处置时间,分公司审核提交时间,补充调查时间,分公司现场调查时间,发运时间,全周期统计时间,提出部门,客户名称,类型
MAZ25-3462,4.03,0.26,0,0,,2025/10/30 16:00,4.29,深圳分公司,深圳市华通电梯实业有限公司,#N/A
MBY25-3668,-0.02,0.29,0,0,,2025/11/10 16:00,0.27,深圳分公司,广东祺麟电梯有限公司,非基板
MAZ25-3345,6.02,0.3,0,0.97,,2025/10/28 16:00,7.29,深圳分公司,深圳嘉菱电梯工程有限公司,#N/A
MBY25-3435,4.31,0.64,0,0,,2025/10/29 16:00,4.95,深圳分公司,深圳市建筑工务署工程管理中心,#N/A
MBY25-3645,6.28,0.66,0,0,,2025/11/17 16:00,6.94,深圳分公司,家利物业管理（深圳）有限公司宝安御,非基板
MBY25-3684,0.31,0.68,0,0,,2025/11/11 16:00,0.99,深圳分公司,深圳市鼎宏投资发展有限公司,非基板
MBY25-3390,6.26,0.69,0,0,,2025/10/29 16:00,6.95,深圳分公司,深圳中电蓝海控股有限公司,#N/A
MBY25-3643,2.28,0.7,0,0,,2025/11/11 16:00,2.98,深圳分公司,深圳市赋景科贸有限公司,非基板
MAZ25-3745,0.26,0.71,0,0,,2025/11/17 16:00,0.97,深圳分公司,东莞市上菱电梯有限公司,非基板
MAZ25-3800,0.28,0.71,0,0,,2025/11/19 16:00,0.99,深圳分公司,深圳深汕特别合作区深投控投资发展有,非基板
MBY25-3683,1.23,0.76,0,0,,2025/11/12 16:00,1.99,深圳分公司,深圳市鼎宏投资发展有限公司,基板
MBY25-3553,3.21,0.78,0,0,,2025/11/5 16:00,3.99,深圳分公司,深圳市新裕康源物业管理有限公司,#N/A
MAZ25-3587,4.32,0.78,0,0,,2025/11/10 16:00,5.1,深圳分公司,深圳市华通电梯实业有限公司,非基板
MAZ25-3591,1.21,0.79,0,0,,2025/11/5 16:00,2,深圳分公司,深圳市城建产业园发展有限公司,基板
MBY25-3571,2.08,0.87,0,0,,2025/11/5 16:00,2.95,深圳分公司,深圳市吉达电梯工程有限公司,#N/A
MAZ25-3555,3.29,1,0,0,,2025/11/6 16:00,4.29,深圳分公司,创维集团有限公司深圳分公司,非基板
MAZ25-3546,8.99,1,0,4.12,,2025/11/19 16:00,14.11,深圳分公司,深圳市建筑工务署文体和水务工程管理,非基板
MAZ25-3418,3.16,1.08,0,1.87,,2025/10/30 16:00,6.11,深圳分公司,深圳市万科物业服务有限公司香榭茗园,#N/A
MAZ25-3625,4.28,1.68,0,0,,2025/11/13 16:00,5.96,深圳分公司,深圳市吉达电梯工程有限公司,非基板
MAZ25-3602,7.28,1.84,0,1.11,,2025/11/18 16:00,10.23,深圳分公司,深圳胜一电梯工程有限公司,非基板
MAZ25-3561,4.28,1.98,0,0,,2025/11/10 16:00,6.26,深圳分公司,深圳市凯德丰投资有限公司,非基板
MBY25-3686,1,2.95,0,0,,2025/11/14 16:00,3.95,深圳分公司,深圳市鼎宏投资发展有限公司,非基板
