三包流水号,总部制造发运时间,总部审核处置时间,分公司审核提交时间,补充调查时间,分公司现场调查时间,发运时间,全周期统计时间,提出部门,客户名称,类型
MAZ25-3573,4.18,0.08,-1,0.65,,2025/11/10 16:00,3.91,蚌埠分公司,浙江宝业供应链管理有限公司,非基板
MAZ25-3687,4.27,0.02,0.58,0,,2025/11/17 16:00,4.87,贵州分公司,新华阁小区业主委员会,非基板
MAZ25-3502,-0.01,1.21,0.09,0,,2025/10/29 16:00,1.29,赣州分公司,江西广菱机电设备有限公司,#N/A
MAZ25-3432,4.25,0.73,0.01,0,,2025/10/29 16:00,4.99,重庆分公司,重庆鸿纵机电设备有限公司,#N/A
MAZ25-3608,-0.03,0.05,0.04,0,,2025/11/4 16:00,0.06,重庆分公司,重庆市意能达电梯有限责任公司,非基板
MBY25-3436,4.26,2.01,0.63,2,,2025/11/4 16:00,8.9,金华分公司,浙江杭开英惠特科技有限公司,#N/A
MAZ25-3733,1.06,0.83,0.06,0,,2025/11/17 16:00,1.95,陕西分公司,陕西三秦通宇机电工程设备有限公司,非基板
MAZ25-3548,2.09,1.16,0.81,0,,2025/11/5 16:00,4.06,陕西分公司,陕西三秦通宇机电工程设备有限公司,非基板
MAZ25-3513,8.3,0.78,1.06,0,,2025/11/11 16:00,10.14,黑龙江分公司,上海冠菱电梯有限公司,#N/A
,811.16,0.53,,,,,1104.16,,,
,#REF!,,,,,,#REF!,,,
,#REF!,,,,,,#REF!,,,
